A: 0 - 20929         : 3612 
B: 20930 - 39387     : 2635
C: 39389 - 69581     : 4665
D: 69583 - 91180     : 3403
E: 91182 - 104291    : 2395
F: 104292 - 122657   : 2757
G: 122659 - 133605   : 1658
H: 133607 - 147574   : 2189 
I: 147576 - 165693   : 3400
J: 165695 - 168661   : 476
K: 168663 - 171995   : 463
L: 171997 - 184300   : 1910
M: 184302 - 199119   : 2590
N: 199121 - 205491   : 1071
O: 205493 - 216199   : 1882
P: 216201 - 245315   : 4837
Q: 245317 - 247251   : 307
R: 247253 - 264670   : 2422
S: 264672 - 313339   : 7703
T: 313341 - 332018   : 2736
U: 332020 - 344284   : 2465
V: 344286 - 349945   : 934
W: 349947 - 360100   : 1532
X: 360102 - 360232   : 29
Y: 360234 - 361161   : 148
Z: 361163 - 361677   : 106
